Frequency,Power
10950000.000000,1588.381438
10958000.000000,425.773139
10966000.000000,399.651407
10974000.000000,272.977418
10982000.000000,325.588072
10990000.000000,545.700736
10998000.000000,427.619783
11006000.000000,336.476975
11014000.000000,417.938187
11022000.000000,267.681078
11030000.000000,2161.938973
11038000.000000,606.675746
11046000.000000,424.595483
11054000.000000,358.787702
11062000.000000,277.566266
11070000.000000,507.684603
11078000.000000,1773.318649
11086000.000000,602.174636
11094000.000000,436.449015
11102000.000000,545.486092
11110000.000000,308.501401
11118000.000000,424.833182
11126000.000000,521.918850
11134000.000000,687.718799
11142000.000000,1177.139938
11150000.000000,2981.754105
11158000.000000,869.889468
11166000.000000,1276.515593
11174000.000000,1576.674197
11182000.000000,2795.062760
11190000.000000,4252.004816
11198000.000000,1407.729937
11206000.000000,1050.703133
11214000.000000,648.802668
11222000.000000,640.664607
11230000.000000,1240.162733
11238000.000000,445.616095
11246000.000000,963.345743
11254000.000000,1921.770855
11262000.000000,753.549643
11270000.000000,13765.932337
11278000.000000,1805.239667
11286000.000000,3495.614406
11294000.000000,3254.201643
11302000.000000,1218.977593
11310000.000000,458.283386
11318000.000000,419.451480
11326000.000000,2022.459078
11334000.000000,2596.438758
11342000.000000,1103.280846
11350000.000000,762.285582
11358000.000000,757.832023
11366000.000000,651.468773
11374000.000000,441.330073
11382000.000000,659.320272
11390000.000000,4516.556640
11398000.000000,632.003672
11406000.000000,650.934544
11414000.000000,555.678438
11422000.000000,765.932874
11430000.000000,884.108840
11438000.000000,874.064575
11446000.000000,1444.377178
11454000.000000,1251.063716
11462000.000000,662.632073
11470000.000000,382.999883
11478000.000000,514.246610
11486000.000000,485.343751
11494000.000000,742.444654
11502000.000000,1122.622863
11510000.000000,4978.824543
11518000.000000,517.950179
11526000.000000,613.668893
11534000.000000,604.506159
11542000.000000,755.803590
11550000.000000,778.236021
11558000.000000,2901.944607
11566000.000000,2128.958198
11574000.000000,3059.423254
11582000.000000,1462.588487
11590000.000000,1246.778086
11598000.000000,494.002712
11606000.000000,603.798025
11614000.000000,826.715506
11622000.000000,608.453130
11630000.000000,753.662924
11638000.000000,715.309332
11646000.000000,916.105738
11654000.000000,1127.487326
11662000.000000,711.084728
11670000.000000,6518.924455
11678000.000000,981.563047
11686000.000000,864.796641
11694000.000000,768.780127
11702000.000000,893.318179
11710000.000000,2038.492888
11718000.000000,1064.664996
11726000.000000,1231.703405
11734000.000000,854.172355
11742000.000000,858.918954
11750000.000000,1030.046735
11758000.000000,1041.210902
11766000.000000,1278.439088
11774000.000000,1349.340188
11782000.000000,1568.276592
11790000.000000,2357.337090
11798000.000000,2944.375257
11806000.000000,7045.151516
11814000.000000,7016.318414
11822000.000000,2303.722787
11830000.000000,2192.565811
11838000.000000,3282.838781
11846000.000000,9826.086130
11854000.000000,11548.410066
11862000.000000,1942.237076
11870000.000000,2048.730479
11878000.000000,1011.466417
11886000.000000,898.507712
11894000.000000,949.360263
11902000.000000,407.337444
11910000.000000,1103.370067
11918000.000000,584.278200
11926000.000000,1490.696999
11934000.000000,1850.196424
11942000.000000,1016.840019
11950000.000000,2262.213178
11958000.000000,1060.273587
11966000.000000,1033.543584
11974000.000000,1043.861134
11982000.000000,1896.991482
11990000.000000,7307.467748
11998000.000000,3052.392113
12006000.000000,1822.326322
12014000.000000,2228.300529
12022000.000000,2827.617606
12030000.000000,3708.626073
12038000.000000,5887.104621
12046000.000000,17409.079369
12054000.000000,18055.391965
12062000.000000,6159.632184
12070000.000000,3871.891071
12078000.000000,2950.526714
12086000.000000,2382.317598
12094000.000000,2168.637878
12102000.000000,1747.247593
12110000.000000,1523.269086
12118000.000000,1426.822983
12126000.000000,1261.102018
12134000.000000,1430.785374
12142000.000000,1205.070663
12150000.000000,1073.575742
12158000.000000,1024.523420
12166000.000000,1059.921404
12174000.000000,952.700756
12182000.000000,846.924731
12190000.000000,825.890386
12198000.000000,989.260103
12206000.000000,1066.712334
12214000.000000,1126.457886
12222000.000000,574.860778
12230000.000000,3926.987396
12238000.000000,1261.481051
12246000.000000,1242.042015
12254000.000000,1193.317376
12262000.000000,1031.125603
12270000.000000,1021.723909
12278000.000000,1040.817514
12286000.000000,1204.126546
12294000.000000,1459.087546
12302000.000000,3107.011768
12310000.000000,2144.120982
12318000.000000,3032.463270
12326000.000000,7296.614818
12334000.000000,6481.791188
12342000.000000,2755.781265
12350000.000000,1468.274370
12358000.000000,1405.735943
12366000.000000,2456.075841
12374000.000000,1855.427077
12382000.000000,709.805514
12390000.000000,755.330092
12398000.000000,578.331419
12406000.000000,559.680519
12414000.000000,610.529954
12422000.000000,477.433967
12430000.000000,530.501026
12438000.000000,409.585101
12446000.000000,506.452630
12454000.000000,924.640064
12462000.000000,428.855124
12470000.000000,939.600398
12478000.000000,920.357045
12486000.000000,845.292010
12494000.000000,546.211997
12502000.000000,322.012981
12510000.000000,337.391426
12518000.000000,349.475107
12526000.000000,291.811232
12534000.000000,229.766497
12542000.000000,404.680350
12550000.000000,660.212828
12558000.000000,289.355644
12566000.000000,250.423580
12574000.000000,348.537411
12582000.000000,393.103910
12590000.000000,472.856966
12598000.000000,465.791885
12606000.000000,573.380970
12614000.000000,4328.361904
12622000.000000,5101.885177
12630000.000000,38966.711645
12638000.000000,2595.958280
12646000.000000,1722.177209
12654000.000000,1083.259579
12662000.000000,821.846783
12670000.000000,1551.057307
12678000.000000,699.001022
12686000.000000,548.431746
12694000.000000,655.584665
12702000.000000,438.585272
12710000.000000,653.308139
12718000.000000,828.358437
12726000.000000,540.826404
12734000.000000,803.597438
12742000.000000,732.196780
12750000.000000,834.846818
12758000.000000,1023.971962
12766000.000000,1124.456348
12774000.000000,1340.598803
12782000.000000,1720.401992
12790000.000000,2241.227365
12798000.000000,2946.812626
12806000.000000,9705.089218
12814000.000000,10882.141232
12822000.000000,4261.417685
12830000.000000,2210.333104
12838000.000000,1556.163499
12846000.000000,1272.528801
12854000.000000,1134.832142
12862000.000000,1126.477843
12870000.000000,923.076324
12878000.000000,765.620140
12886000.000000,752.625423
12894000.000000,828.163786
12902000.000000,1197.592720
12910000.000000,822.267069
12918000.000000,572.956895
12926000.000000,614.800842
12934000.000000,523.740201
12942000.000000,632.183774
12950000.000000,564.965133
12958000.000000,486.377972
12966000.000000,434.967697
12974000.000000,378.069244
12982000.000000,455.623752
12990000.000000,490.070031
12998000.000000,458.147001
13006000.000000,451.920278
13014000.000000,536.651035
13022000.000000,520.343619
13030000.000000,604.312364
13038000.000000,974.412307
13046000.000000,995.630359
13054000.000000,601.271720
13062000.000000,393.875254
13070000.000000,533.745342
13078000.000000,544.753834
13086000.000000,1064.820171
13094000.000000,1201.981474
13102000.000000,1204.994806
13110000.000000,1130.212178
13118000.000000,419.656246
13126000.000000,430.384528
13134000.000000,314.947613
13142000.000000,461.373362
13150000.000000,528.738784
13158000.000000,427.028856
13166000.000000,1126.561163
13174000.000000,1174.689178
13182000.000000,666.085008
13190000.000000,425.266765
13198000.000000,527.504547
13206000.000000,596.022679
13214000.000000,650.741208
13222000.000000,853.082267
13230000.000000,649.169050
13238000.000000,474.625887
13246000.000000,718.476191
13254000.000000,423.469172
13262000.000000,488.593267
13270000.000000,394.400095
13278000.000000,378.807505
13286000.000000,394.721899
13294000.000000,579.302496
13302000.000000,277.006191
13310000.000000,451.495458
13318000.000000,310.728990
13326000.000000,407.109706
13334000.000000,380.411289
13342000.000000,322.230563
13350000.000000,284.989124
13358000.000000,399.965577
13366000.000000,498.931962
13374000.000000,330.479643
13382000.000000,325.081056
13390000.000000,594.298271
13398000.000000,389.687486
13406000.000000,341.223435
13414000.000000,375.490402
13422000.000000,374.699033
13430000.000000,350.888528
13438000.000000,432.014852
13446000.000000,770.239205
13454000.000000,1527.808841
13462000.000000,1067.427753
13470000.000000,483.848288
13478000.000000,567.520588
13486000.000000,929.081585
13494000.000000,1135.608274
13502000.000000,1422.931271
13510000.000000,2293.320739
13518000.000000,8230.297034
13526000.000000,1533.235884
13534000.000000,728.607642
13542000.000000,631.584178
13550000.000000,509.395681
13558000.000000,399.462675
13566000.000000,311.055105
13574000.000000,487.876383
13582000.000000,397.885351
13590000.000000,1361.258665
13598000.000000,313.180626
13606000.000000,327.850703
13614000.000000,226.918563
13622000.000000,376.707262
13630000.000000,570.592241
13638000.000000,223.409163
13646000.000000,201.693760
13654000.000000,248.909375
13662000.000000,234.138551
13670000.000000,193.435578
13678000.000000,366.737871
13686000.000000,392.252426
13694000.000000,294.339478
13702000.000000,209.111634
13710000.000000,225.659933
13718000.000000,274.712704
13726000.000000,185.713286
13734000.000000,863.590667
13742000.000000,306.326796
13750000.000000,7035.522140
13758000.000000,258.208948
13766000.000000,235.396999
13774000.000000,279.479610
13782000.000000,299.555504
13790000.000000,397.222896
13798000.000000,314.108243
13806000.000000,367.408343
13814000.000000,275.514221
13822000.000000,199.982063
13830000.000000,299.150739
13838000.000000,293.452356
13846000.000000,320.512767
13854000.000000,194.374939
13862000.000000,662.991734
13870000.000000,2978.194498
13878000.000000,731.918036
13886000.000000,334.060072
13894000.000000,368.528619
13902000.000000,275.516521
13910000.000000,257.591338
13918000.000000,261.244339
13926000.000000,378.297561
13934000.000000,293.375299
13942000.000000,282.331139
13950000.000000,360.591548
13958000.000000,471.002251
13966000.000000,354.271242
13974000.000000,316.806178
13982000.000000,300.015575
13990000.000000,279.883727
13998000.000000,421.703183
14006000.000000,390.840228
14014000.000000,359.551518
14022000.000000,390.760310
14030000.000000,256.994879
14038000.000000,269.180115
14046000.000000,138.550948
14054000.000000,269.713596
14062000.000000,401.623371
14070000.000000,575.981194
14078000.000000,260.811239
14086000.000000,342.130164
14094000.000000,420.548334
14102000.000000,291.142205
14110000.000000,287.743956
14118000.000000,357.431187
14126000.000000,257.528747
14134000.000000,1138.757812
14142000.000000,247.302041
14150000.000000,609.385613
14158000.000000,457.454989
14166000.000000,373.796035
14174000.000000,454.456103
14182000.000000,462.881168
14190000.000000,1041.159181
14198000.000000,516.069067
14206000.000000,428.297936
14214000.000000,544.320750
14222000.000000,625.269605
14230000.000000,1166.890376
14238000.000000,1626.609257
14246000.000000,3729.633175
14254000.000000,703.983763
14262000.000000,672.897318
14270000.000000,579.923249
14278000.000000,555.060685
14286000.000000,2947.485754
14294000.000000,511.915352
14302000.000000,632.388347
14310000.000000,320.632178
14318000.000000,395.338663
14326000.000000,377.165011
14334000.000000,491.145186
14342000.000000,626.974711
14350000.000000,444.729232
14358000.000000,742.124828
14366000.000000,719.042175
14374000.000000,413.122253
14382000.000000,288.916883
14390000.000000,248.919830
14398000.000000,373.279651
14406000.000000,239.926825
14414000.000000,305.564258
14422000.000000,366.692371
14430000.000000,365.296595
14438000.000000,323.594284
14446000.000000,324.959553
14454000.000000,228.981518
14462000.000000,355.152968
14470000.000000,332.036004
14478000.000000,353.676885
14486000.000000,207.716870
14494000.000000,322.744190
14502000.000000,406.437025
14510000.000000,377.255190
14518000.000000,381.286050
14526000.000000,463.158437
14534000.000000,348.972081
14542000.000000,387.146740
14550000.000000,354.846069
14558000.000000,475.920341
14566000.000000,630.979932
14574000.000000,356.587019
14582000.000000,388.404640
14590000.000000,413.129203
14598000.000000,694.836847
14606000.000000,736.477725
14614000.000000,2140.316837
14622000.000000,609.171568
14630000.000000,413.631269
14638000.000000,363.009530
14646000.000000,376.127034
14654000.000000,497.601488
14662000.000000,510.793400
14670000.000000,417.264728
14678000.000000,332.129500
14686000.000000,424.431711
14694000.000000,387.680807
14702000.000000,436.469499
14710000.000000,968.278986
14718000.000000,557.044934
14726000.000000,409.467871
14734000.000000,311.474399
14742000.000000,378.168634
14750000.000000,385.020791
14758000.000000,352.181753
14766000.000000,382.499001
14774000.000000,419.148755
14782000.000000,254.786499
14790000.000000,303.220424
14798000.000000,435.430669
14806000.000000,349.719088
14814000.000000,323.317126
14822000.000000,358.826196
14830000.000000,430.966813
14838000.000000,386.208453
14846000.000000,504.564010
14854000.000000,568.744794
14862000.000000,429.491777
14870000.000000,388.478901
14878000.000000,355.284619
14886000.000000,371.088723
14894000.000000,601.861674
14902000.000000,461.817355
14910000.000000,12616.452309
14918000.000000,538.044193
14926000.000000,375.614323
14934000.000000,471.145158
14942000.000000,384.535280
14950000.000000,436.067025
14958000.000000,448.782783
14966000.000000,412.073412
14974000.000000,463.075547
14982000.000000,534.658371
14990000.000000,458.642891
14998000.000000,569.906220
15006000.000000,1265.386967
15014000.000000,612.065021
15022000.000000,849.050570
15030000.000000,550.181608
15038000.000000,553.111602
15046000.000000,589.218231
15054000.000000,508.325276
15062000.000000,596.062139
15070000.000000,498.137996
15078000.000000,789.717784
15086000.000000,690.922887
15094000.000000,722.439916
15102000.000000,589.034632
15110000.000000,657.915044
15118000.000000,707.406284
15126000.000000,861.289012
15134000.000000,691.089323
15142000.000000,743.336085
15150000.000000,992.129185
15158000.000000,930.104366
15166000.000000,1007.391839
15174000.000000,1109.934459
15182000.000000,1200.978215
15190000.000000,1704.929216
15198000.000000,1560.591992
15206000.000000,1757.099855
15214000.000000,2040.647456
15222000.000000,2503.940872
15230000.000000,3263.927817
15238000.000000,5282.636887
15246000.000000,10668.860078
15254000.000000,9768.610932
15262000.000000,3816.304685
15270000.000000,1427.394258
15278000.000000,1634.500373
15286000.000000,10209.877218
15294000.000000,14168.167566
15302000.000000,4704.249404
15310000.000000,2999.004184
15318000.000000,2307.630948
15326000.000000,2062.636839
15334000.000000,2399.402347
15342000.000000,1797.496973
15350000.000000,2644.995852
15358000.000000,704.922208
15366000.000000,1101.521324
15374000.000000,913.024203
15382000.000000,798.930458
15390000.000000,828.910859
15398000.000000,735.151106
15406000.000000,931.714357
15414000.000000,870.144287
15422000.000000,530.838826
15430000.000000,1241.656914
15438000.000000,785.135948
15446000.000000,757.792930
15454000.000000,1098.675085
15462000.000000,764.482122
15470000.000000,2279.844837
15478000.000000,1069.857985
15486000.000000,1130.485303
15494000.000000,1020.959531
15502000.000000,829.490716
15510000.000000,630.130540
15518000.000000,509.918522
15526000.000000,573.963405
15534000.000000,733.748288
15542000.000000,459.183941
15550000.000000,464.067048
15558000.000000,679.709579
15566000.000000,650.255721
15574000.000000,1389.874691
15582000.000000,1320.033074
15590000.000000,626.307768
15598000.000000,987.860086
15606000.000000,1244.209500
15614000.000000,580.522241
15622000.000000,558.171932
15630000.000000,480.688361
15638000.000000,575.294441
15646000.000000,402.637759
15654000.000000,450.331196
15662000.000000,417.797462
15670000.000000,485.016303
15678000.000000,470.877523
15686000.000000,530.844000
15694000.000000,517.512124
15702000.000000,470.682331
15710000.000000,578.072064
15718000.000000,433.517414
15726000.000000,571.075101
15734000.000000,363.856613
15742000.000000,613.384311
15750000.000000,937.840166
15758000.000000,409.405524
15766000.000000,240.967947
15774000.000000,450.963972
15782000.000000,452.024038
15790000.000000,335.936970
15798000.000000,302.168133
15806000.000000,315.056480
15814000.000000,861.554572
15822000.000000,400.592339
15830000.000000,429.085657
15838000.000000,503.542949
15846000.000000,1182.509189
15854000.000000,708.523532
15862000.000000,361.113823
15870000.000000,286.965557
15878000.000000,303.351468
15886000.000000,433.495141
15894000.000000,927.448678
15902000.000000,769.737010
15910000.000000,479.285879
15918000.000000,216.153334
15926000.000000,404.921700
15934000.000000,217.772337
15942000.000000,531.060251
