Samples,Power
8050000.000000,77
8052000.000000,44
8054000.000000,27
8056000.000000,-25
8058000.000000,-18
8060000.000000,-56
8062000.000000,-66
8064000.000000,75
8066000.000000,78
8068000.000000,26
8070000.000000,-70
8072000.000000,-58
8074000.000000,-39
8076000.000000,18
8078000.000000,44
8080000.000000,45
8082000.000000,-6
8084000.000000,-81
8086000.000000,2
8088000.000000,13
8090000.000000,60
8092000.000000,0
8094000.000000,62
8096000.000000,-51
8098000.000000,-127
8100000.000000,-12
8102000.000000,135
8104000.000000,137
8106000.000000,-55
8108000.000000,-85
8110000.000000,-83
8112000.000000,38
8114000.000000,79
8116000.000000,54
8118000.000000,-45
8120000.000000,-81
8122000.000000,17
8124000.000000,36
8126000.000000,77
8128000.000000,-61
8130000.000000,-57
8132000.000000,-21
8134000.000000,42
8136000.000000,-13
8138000.000000,7
8140000.000000,92
8142000.000000,-2
8144000.000000,-63
8146000.000000,-73
8148000.000000,36
8150000.000000,21
8152000.000000,19
8154000.000000,2
8156000.000000,-8
8158000.000000,27
8160000.000000,29
8162000.000000,19
8164000.000000,-63
8166000.000000,8
8168000.000000,27
8170000.000000,65
8172000.000000,-37
8174000.000000,-51
8176000.000000,62
8178000.000000,118
8180000.000000,-2
8182000.000000,-150
8184000.000000,-46
8186000.000000,79
8188000.000000,142
8190000.000000,-5
8192000.000000,-105
8194000.000000,-88
8196000.000000,58
8198000.000000,146
8200000.000000,-10
8202000.000000,-118
8204000.000000,-122
8206000.000000,95
8208000.000000,137
8210000.000000,24
8212000.000000,-150
8214000.000000,-54
8216000.000000,108
8218000.000000,40
8220000.000000,-54
8222000.000000,-88
8224000.000000,79
8226000.000000,60
8228000.000000,30
8230000.000000,-88
8232000.000000,-45
8234000.000000,77
8236000.000000,94
8238000.000000,26
8240000.000000,-169
8242000.000000,-70
8244000.000000,66
8246000.000000,180
8248000.000000,30
8250000.000000,-100
8252000.000000,-92
8254000.000000,-2
8256000.000000,64
8258000.000000,38
8260000.000000,42
8262000.000000,-93
8264000.000000,-80
8266000.000000,-35
8268000.000000,102
8270000.000000,76
8272000.000000,-7
8274000.000000,-68
8276000.000000,-112
8278000.000000,-3
8280000.000000,42
8282000.000000,93
8284000.000000,-35
8286000.000000,-56
8288000.000000,-23
8290000.000000,28
8292000.000000,2
8294000.000000,-92
8296000.000000,13
8298000.000000,74
8300000.000000,68
8302000.000000,-112
8304000.000000,-68
8306000.000000,37
8308000.000000,100
8310000.000000,23
8312000.000000,-85
8314000.000000,-89
8316000.000000,-39
8318000.000000,136
8320000.000000,88
8322000.000000,-7
8324000.000000,-100
8326000.000000,-31
8328000.000000,1
8330000.000000,-5
8332000.000000,6
8334000.000000,14
8336000.000000,32
8338000.000000,-66
8340000.000000,-28
8342000.000000,6
8344000.000000,108
8346000.000000,9
8348000.000000,-95
8350000.000000,-76
8352000.000000,5
8354000.000000,99
8356000.000000,20
8358000.000000,-4
8360000.000000,-64
8362000.000000,4
8364000.000000,-4
8366000.000000,5
8368000.000000,-31
8370000.000000,7
8372000.000000,85
8374000.000000,-1
8376000.000000,-86
8378000.000000,-115
8380000.000000,108
8382000.000000,104
8384000.000000,-18
8386000.000000,-152
8388000.000000,-62
8390000.000000,116
8392000.000000,120
8394000.000000,29
8396000.000000,-151
8398000.000000,-97
8400000.000000,48
8402000.000000,179
8404000.000000,6
8406000.000000,-167
8408000.000000,-78
8410000.000000,89
8412000.000000,184
8414000.000000,-20
8416000.000000,-99
8418000.000000,-65
8420000.000000,87
8422000.000000,68
8424000.000000,-25
8426000.000000,-59
8428000.000000,-3
8430000.000000,66
8432000.000000,38
8434000.000000,33
8436000.000000,-68
8438000.000000,-21
8440000.000000,37
8442000.000000,63
8444000.000000,-46
8446000.000000,-68
8448000.000000,18
8450000.000000,54
8452000.000000,83
8454000.000000,-59
8456000.000000,-51
8458000.000000,-93
8460000.000000,38
8462000.000000,70
8464000.000000,62
8466000.000000,9
8468000.000000,-70
8470000.000000,-33
8472000.000000,-23
8474000.000000,50
8476000.000000,4
8478000.000000,9
8480000.000000,-40
8482000.000000,-30
8484000.000000,39
8486000.000000,76
8488000.000000,83
8490000.000000,-69
8492000.000000,-59
8494000.000000,-43
8496000.000000,39
8498000.000000,8
8500000.000000,50
8502000.000000,74
8504000.000000,14
8506000.000000,-91
8508000.000000,-80
8510000.000000,64
8512000.000000,58
8514000.000000,52
8516000.000000,-35
8518000.000000,-49
8520000.000000,-73
8522000.000000,15
8524000.000000,128
8526000.000000,7
8528000.000000,-86
8530000.000000,-123
8532000.000000,36
8534000.000000,88
8536000.000000,78
8538000.000000,-7
8540000.000000,-63
8542000.000000,-75
8544000.000000,-23
8546000.000000,83
8548000.000000,47
8550000.000000,-22
8552000.000000,-66
8554000.000000,36
8556000.000000,34
8558000.000000,1
8560000.000000,-4
8562000.000000,11
8564000.000000,6
8566000.000000,-27
8568000.000000,36
8570000.000000,-30
8572000.000000,4
8574000.000000,-5
8576000.000000,66
8578000.000000,40
8580000.000000,-53
8582000.000000,-82
8584000.000000,-2
8586000.000000,120
8588000.000000,10
8590000.000000,-59
8592000.000000,-110
8594000.000000,-1
8596000.000000,55
8598000.000000,107
8600000.000000,4
8602000.000000,-154
8604000.000000,-51
8606000.000000,59
8608000.000000,99
8610000.000000,-63
8612000.000000,-50
8614000.000000,0
8616000.000000,53
8618000.000000,11
8620000.000000,-48
8622000.000000,-49
8624000.000000,-33
8626000.000000,82
8628000.000000,33
8630000.000000,16
8632000.000000,-49
8634000.000000,14
8636000.000000,62
8638000.000000,-19
8640000.000000,-90
8642000.000000,-74
8644000.000000,100
8646000.000000,74
8648000.000000,17
8650000.000000,-87
8652000.000000,-11
8654000.000000,32
8656000.000000,55
8658000.000000,11
8660000.000000,-116
8662000.000000,-67
8664000.000000,4
8666000.000000,151
8668000.000000,51
8670000.000000,-63
8672000.000000,-89
8674000.000000,-34
8676000.000000,12
8678000.000000,9
8680000.000000,79
8682000.000000,29
8684000.000000,-44
8686000.000000,-78
8688000.000000,39
8690000.000000,20
8692000.000000,-17
8694000.000000,-21
8696000.000000,-4
8698000.000000,-13
8700000.000000,-3
8702000.000000,83
8704000.000000,-1
8706000.000000,-24
8708000.000000,-95
8710000.000000,4
8712000.000000,6
8714000.000000,-15
8716000.000000,-1
8718000.000000,30
8720000.000000,85
8722000.000000,-68
8724000.000000,-83
8726000.000000,-53
8728000.000000,68
8730000.000000,54
8732000.000000,23
8734000.000000,-72
8736000.000000,-114
8738000.000000,37
8740000.000000,109
8742000.000000,98
8744000.000000,-81
8746000.000000,-53
8748000.000000,-17
8750000.000000,41
8752000.000000,41
8754000.000000,42
8756000.000000,19
8758000.000000,-65
8760000.000000,-30
8762000.000000,-10
8764000.000000,109
8766000.000000,26
8768000.000000,-20
8770000.000000,-29
8772000.000000,-25
8774000.000000,11
8776000.000000,12
8778000.000000,99
8780000.000000,-16
8782000.000000,-42
8784000.000000,-72
8786000.000000,21
8788000.000000,16
8790000.000000,12
8792000.000000,36
8794000.000000,30
8796000.000000,-1
8798000.000000,-109
8800000.000000,-7
8802000.000000,65
8804000.000000,88
8806000.000000,-98
8808000.000000,-95
8810000.000000,19
8812000.000000,96
8814000.000000,114
8816000.000000,-39
8818000.000000,-93
8820000.000000,-75
8822000.000000,122
8824000.000000,76
8826000.000000,-52
8828000.000000,-100
8830000.000000,52
8832000.000000,174
8834000.000000,22
8836000.000000,-110
8838000.000000,-114
8840000.000000,84
8842000.000000,84
8844000.000000,14
8846000.000000,-69
8848000.000000,-11
8850000.000000,34
8852000.000000,46
8854000.000000,2
8856000.000000,-115
8858000.000000,-17
8860000.000000,51
8862000.000000,98
8864000.000000,-25
8866000.000000,-34
8868000.000000,-37
8870000.000000,3
8872000.000000,29
8874000.000000,-11
8876000.000000,18
8878000.000000,-42
8880000.000000,2
8882000.000000,-35
8884000.000000,67
8886000.000000,76
8888000.000000,-34
8890000.000000,-79
8892000.000000,-71
8894000.000000,67
8896000.000000,53
8898000.000000,55
8900000.000000,-71
8902000.000000,-68
8904000.000000,12
8906000.000000,86
8908000.000000,47
8910000.000000,-75
8912000.000000,-28
8914000.000000,1
8916000.000000,46
8918000.000000,-64
8920000.000000,-40
8922000.000000,65
8924000.000000,84
8926000.000000,-38
8928000.000000,-134
8930000.000000,-33
8932000.000000,56
8934000.000000,100
8936000.000000,-27
8938000.000000,-83
8940000.000000,-104
8942000.000000,45
8944000.000000,94
8946000.000000,45
8948000.000000,-54
8950000.000000,-109
8952000.000000,-19
8954000.000000,6
8956000.000000,53
8958000.000000,35
8960000.000000,40
8962000.000000,-34
8964000.000000,-93
8966000.000000,-20
8968000.000000,29
8970000.000000,39
8972000.000000,-7
8974000.000000,20
8976000.000000,-37
8978000.000000,8
8980000.000000,23
8982000.000000,18
8984000.000000,-61
8986000.000000,-24
8988000.000000,45
8990000.000000,-23
8992000.000000,-40
8994000.000000,-21
8996000.000000,133
8998000.000000,76
9000000.000000,-51
9002000.000000,-181
9004000.000000,-101
9006000.000000,160
9008000.000000,184
9010000.000000,32
9012000.000000,-195
9014000.000000,-94
9016000.000000,75
9018000.000000,163
9020000.000000,-8
9022000.000000,-144
9024000.000000,-61
9026000.000000,80
9028000.000000,155
9030000.000000,-30
9032000.000000,-87
9034000.000000,-62
9036000.000000,54
9038000.000000,36
9040000.000000,-60
9042000.000000,-52
9044000.000000,23
9046000.000000,117
9048000.000000,7
9050000.000000,-60
9052000.000000,-111
9054000.000000,38
9056000.000000,82
9058000.000000,23
9060000.000000,-76
9062000.000000,-68
9064000.000000,89
9066000.000000,61
9068000.000000,10
9070000.000000,-81
9072000.000000,6
9074000.000000,21
9076000.000000,47
9078000.000000,6
9080000.000000,12
9082000.000000,9
9084000.000000,-32
9086000.000000,4
9088000.000000,21
9090000.000000,99
9092000.000000,-3
9094000.000000,-47
9096000.000000,-37
9098000.000000,41
9100000.000000,76
9102000.000000,-2
9104000.000000,-51
9106000.000000,-46
9108000.000000,67
9110000.000000,37
9112000.000000,-9
9114000.000000,-89
9116000.000000,-5
9118000.000000,69
9120000.000000,33
9122000.000000,-42
9124000.000000,-76
9126000.000000,59
9128000.000000,53
9130000.000000,13
9132000.000000,-128
9134000.000000,-70
9136000.000000,21
9138000.000000,94
9140000.000000,113
9142000.000000,-54
9144000.000000,-75
9146000.000000,-65
9148000.000000,60
9150000.000000,42
9152000.000000,9
9154000.000000,-24
9156000.000000,-20
9158000.000000,-8
9160000.000000,2
9162000.000000,92
9164000.000000,55
9166000.000000,-11
9168000.000000,-161
9170000.000000,-66
9172000.000000,91
9174000.000000,156
9176000.000000,33
9178000.000000,-116
9180000.000000,-80
9182000.000000,-37
9184000.000000,90
9186000.000000,13
9188000.000000,-33
9190000.000000,-33
9192000.000000,103
9194000.000000,55
9196000.000000,-121
9198000.000000,-98
9200000.000000,50
9202000.000000,155
9204000.000000,-52
9206000.000000,-136
9208000.000000,-77
9210000.000000,127
9212000.000000,145
9214000.000000,19
9216000.000000,-128
9218000.000000,-131
9220000.000000,18
9222000.000000,107
9224000.000000,101
9226000.000000,-98
9228000.000000,-70
9230000.000000,17
9232000.000000,95
9234000.000000,-8
9236000.000000,-92
9238000.000000,4
9240000.000000,54
9242000.000000,59
9244000.000000,-77
9246000.000000,-61
9248000.000000,-22
9250000.000000,77
9252000.000000,73
9254000.000000,-45
9256000.000000,-115
9258000.000000,-77
9260000.000000,142
9262000.000000,95
9264000.000000,-32
9266000.000000,-139
9268000.000000,-8
9270000.000000,31
9272000.000000,40
9274000.000000,43
9276000.000000,-28
9278000.000000,-54
9280000.000000,-85
9282000.000000,99
9284000.000000,79
9286000.000000,16
9288000.000000,-67
9290000.000000,-43
9292000.000000,35
9294000.000000,6
9296000.000000,7
9298000.000000,-32
9300000.000000,10
9302000.000000,-39
9304000.000000,55
9306000.000000,62
9308000.000000,16
9310000.000000,-71
9312000.000000,-51
9314000.000000,23
9316000.000000,-40
9318000.000000,8
9320000.000000,34
9322000.000000,43
9324000.000000,-43
9326000.000000,-17
9328000.000000,4
9330000.000000,0
9332000.000000,-5
9334000.000000,-17
9336000.000000,19
9338000.000000,-25
9340000.000000,24
9342000.000000,36
9344000.000000,40
9346000.000000,-81
9348000.000000,-62
9350000.000000,24
9352000.000000,41
9354000.000000,8
9356000.000000,26
9358000.000000,83
9360000.000000,-50
9362000.000000,-98
9364000.000000,-62
9366000.000000,72
9368000.000000,63
9370000.000000,-3
9372000.000000,-56
9374000.000000,-64
9376000.000000,56
9378000.000000,49
9380000.000000,45
9382000.000000,-80
9384000.000000,-75
9386000.000000,-1
9388000.000000,60
9390000.000000,31
9392000.000000,-54
9394000.000000,49
9396000.000000,45
9398000.000000,-3
9400000.000000,-119
9402000.000000,-39
9404000.000000,76
9406000.000000,127
9408000.000000,61
9410000.000000,-103
9412000.000000,-114
9414000.000000,-23
9416000.000000,174
9418000.000000,118
9420000.000000,-16
9422000.000000,-188
9424000.000000,-53
9426000.000000,150
9428000.000000,129
9430000.000000,-3
9432000.000000,-125
9434000.000000,-21
9436000.000000,12
9438000.000000,48
9440000.000000,6
9442000.000000,-8
9444000.000000,-34
9446000.000000,-32
9448000.000000,27
9450000.000000,-1
9452000.000000,44
9454000.000000,-7
9456000.000000,2
9458000.000000,-31
9460000.000000,-66
9462000.000000,-46
9464000.000000,38
9466000.000000,78
9468000.000000,17
9470000.000000,-3
9472000.000000,-44
9474000.000000,-34
9476000.000000,-19
9478000.000000,87
9480000.000000,18
9482000.000000,-60
9484000.000000,-34
9486000.000000,60
9488000.000000,76
9490000.000000,-24
9492000.000000,4
9494000.000000,-32
9496000.000000,-10
9498000.000000,-27
9500000.000000,44
9502000.000000,65
9504000.000000,14
9506000.000000,-9
9508000.000000,-44
9510000.000000,-5
9512000.000000,-50
9514000.000000,23
9516000.000000,27
9518000.000000,41
9520000.000000,-11
9522000.000000,-3
9524000.000000,19
9526000.000000,-32
9528000.000000,-18
9530000.000000,-77
9532000.000000,28
9534000.000000,5
9536000.000000,23
9538000.000000,-1
9540000.000000,18
9542000.000000,13
9544000.000000,-73
9546000.000000,-16
9548000.000000,-29
9550000.000000,47
9552000.000000,27
9554000.000000,36
9556000.000000,-104
9558000.000000,-85
9560000.000000,97
9562000.000000,127
9564000.000000,-35
9566000.000000,-212
9568000.000000,-53
9570000.000000,124
9572000.000000,162
9574000.000000,-19
9576000.000000,-142
9578000.000000,-100
9580000.000000,24
9582000.000000,103
9584000.000000,41
9586000.000000,-23
9588000.000000,-96
9590000.000000,-6
9592000.000000,30
9594000.000000,39
9596000.000000,-39
9598000.000000,3
9600000.000000,21
9602000.000000,-26
9604000.000000,-30
9606000.000000,-25
9608000.000000,39
9610000.000000,19
9612000.000000,56
9614000.000000,-25
9616000.000000,-69
9618000.000000,-49
9620000.000000,52
9622000.000000,120
9624000.000000,-22
9626000.000000,-102
9628000.000000,-125
9630000.000000,64
9632000.000000,98
9634000.000000,97
9636000.000000,-20
9638000.000000,-122
9640000.000000,-92
9642000.000000,27
9644000.000000,112
9646000.000000,-27
9648000.000000,-42
9650000.000000,-28
9652000.000000,72
9654000.000000,-6
9656000.000000,-48
9658000.000000,-28
9660000.000000,22
9662000.000000,68
9664000.000000,-60
9666000.000000,-27
9668000.000000,-11
9670000.000000,108
9672000.000000,61
9674000.000000,-34
9676000.000000,-124
9678000.000000,-108
9680000.000000,97
9682000.000000,127
9684000.000000,83
9686000.000000,-69
9688000.000000,-63
9690000.000000,-59
9692000.000000,13
9694000.000000,50
9696000.000000,43
9698000.000000,-12
9700000.000000,-76
9702000.000000,9
9704000.000000,59
9706000.000000,112
9708000.000000,-60
9710000.000000,-106
9712000.000000,-48
9714000.000000,25
9716000.000000,58
9718000.000000,32
9720000.000000,28
9722000.000000,-45
9724000.000000,-7
9726000.000000,12
9728000.000000,20
9730000.000000,-55
9732000.000000,-9
9734000.000000,64
9736000.000000,48
9738000.000000,11
9740000.000000,-53
9742000.000000,16
9744000.000000,10
9746000.000000,21
9748000.000000,-27
9750000.000000,12
9752000.000000,20
9754000.000000,39
9756000.000000,53
9758000.000000,-31
9760000.000000,-70
9762000.000000,-57
9764000.000000,92
9766000.000000,58
9768000.000000,-7
9770000.000000,-73
9772000.000000,-30
9774000.000000,10
9776000.000000,21
9778000.000000,75
9780000.000000,-15
9782000.000000,-63
9784000.000000,-113
9786000.000000,52
9788000.000000,79
9790000.000000,3
9792000.000000,-87
9794000.000000,-35
9796000.000000,62
9798000.000000,3
9800000.000000,32
9802000.000000,-12
9804000.000000,-1
9806000.000000,-37
9808000.000000,-16
9810000.000000,13
9812000.000000,1
9814000.000000,50
9816000.000000,61
9818000.000000,66
9820000.000000,-115
9822000.000000,-123
9824000.000000,10
9826000.000000,178
9828000.000000,85
9830000.000000,-103
9832000.000000,-113
9834000.000000,-17
9836000.000000,87
9838000.000000,92
9840000.000000,46
9842000.000000,-157
9844000.000000,-144
9846000.000000,51
9848000.000000,212
9850000.000000,70
9852000.000000,-151
9854000.000000,-62
9856000.000000,-16
9858000.000000,0
9860000.000000,-37
9862000.000000,61
9864000.000000,60
9866000.000000,-15
9868000.000000,-41
9870000.000000,-24
9872000.000000,1
9874000.000000,-38
9876000.000000,54
9878000.000000,9
9880000.000000,-47
9882000.000000,-101
9884000.000000,44
9886000.000000,110
9888000.000000,14
9890000.000000,-48
9892000.000000,-77
9894000.000000,-49
9896000.000000,-68
9898000.000000,115
9900000.000000,128
9902000.000000,-2
9904000.000000,-180
9906000.000000,-93
9908000.000000,82
9910000.000000,55
9912000.000000,21
9914000.000000,-45
9916000.000000,-2
9918000.000000,-54
9920000.000000,44
9922000.000000,63
9924000.000000,5
9926000.000000,-75
9928000.000000,-27
9930000.000000,75
9932000.000000,-30
9934000.000000,-44
9936000.000000,13
9938000.000000,125
9940000.000000,-2
9942000.000000,-102
9944000.000000,-33
9946000.000000,73
9948000.000000,81
9950000.000000,-55
9952000.000000,-41
9954000.000000,-60
9956000.000000,38
9958000.000000,52
9960000.000000,62
9962000.000000,-28
9964000.000000,-102
9966000.000000,-1
9968000.000000,35
9970000.000000,23
9972000.000000,-51
9974000.000000,18
9976000.000000,-20
9978000.000000,-63
9980000.000000,-14
9982000.000000,125
9984000.000000,69
9986000.000000,-121
9988000.000000,-125
9990000.000000,0
9992000.000000,153
9994000.000000,62
9996000.000000,4
9998000.000000,-98
10000000.000000,-59
10002000.000000,24
10004000.000000,96
10006000.000000,24
10008000.000000,-111
10010000.000000,4
10012000.000000,119
10014000.000000,92
10016000.000000,-134
10018000.000000,-43
10020000.000000,82
10022000.000000,42
10024000.000000,-69
10026000.000000,-88
10028000.000000,52
10030000.000000,87
10032000.000000,140
10034000.000000,-27
10036000.000000,-135
10038000.000000,-163
10040000.000000,73
10042000.000000,176
10044000.000000,36
10046000.000000,-82
10048000.000000,-112
10050000.000000,54
10052000.000000,25
10054000.000000,38
10056000.000000,-6
10058000.000000,-5
10060000.000000,-55
10062000.000000,-48
10064000.000000,86
10066000.000000,76
10068000.000000,46
10070000.000000,-63
10072000.000000,-36
10074000.000000,-65
10076000.000000,1
10078000.000000,90
10080000.000000,121
10082000.000000,25
10084000.000000,-106
10086000.000000,-65
10088000.000000,-20
10090000.000000,51
10092000.000000,48
10094000.000000,82
10096000.000000,-50
10098000.000000,-143
10100000.000000,-26
10102000.000000,125
10104000.000000,154
10106000.000000,-70
10108000.000000,-103
10110000.000000,-90
10112000.000000,20
10114000.000000,65
10116000.000000,64
10118000.000000,-36
10120000.000000,-92
10122000.000000,-36
10124000.000000,42
10126000.000000,93
10128000.000000,-16
10130000.000000,-10
10132000.000000,-22
10134000.000000,-10
10136000.000000,-71
10138000.000000,-5
10140000.000000,123
10142000.000000,43
10144000.000000,-66
10146000.000000,-80
10148000.000000,55
10150000.000000,13
10152000.000000,15
10154000.000000,-14
10156000.000000,-9
10158000.000000,8
10160000.000000,12
10162000.000000,34
10164000.000000,-36
10166000.000000,2
10168000.000000,-6
10170000.000000,25
10172000.000000,-79
10174000.000000,-55
10176000.000000,95
10178000.000000,156
10180000.000000,-9
10182000.000000,-240
10184000.000000,-96
10186000.000000,70
10188000.000000,148
10190000.000000,-15
10192000.000000,-99
10194000.000000,-83
10196000.000000,54
10198000.000000,147
10200000.000000,10
10202000.000000,-132
10204000.000000,-179
10206000.000000,65
10208000.000000,146
10210000.000000,50
10212000.000000,-102
10214000.000000,-44
10216000.000000,95
10218000.000000,-19
10220000.000000,-94
10222000.000000,-71
10224000.000000,112
10226000.000000,88
10228000.000000,0
10230000.000000,-82
10232000.000000,-82
10234000.000000,30
10236000.000000,102
10238000.000000,57
10240000.000000,-150
10242000.000000,-114
10244000.000000,47
10246000.000000,209
10248000.000000,79
10250000.000000,-110
10252000.000000,-147
10254000.000000,-42
10256000.000000,53
10258000.000000,85
10260000.000000,100
10262000.000000,-44
10264000.000000,-92
10266000.000000,-61
10268000.000000,107
10270000.000000,52
10272000.000000,9
10274000.000000,-16
10276000.000000,-62
10278000.000000,-22
10280000.000000,-3
10282000.000000,92
10284000.000000,3
10286000.000000,-13
10288000.000000,-31
10290000.000000,-1
10292000.000000,-19
10294000.000000,-63
10296000.000000,62
10298000.000000,92
10300000.000000,28
10302000.000000,-190
10304000.000000,-76
10306000.000000,71
10308000.000000,145
10310000.000000,51
10312000.000000,-76
10314000.000000,-110
10316000.000000,-89
10318000.000000,109
10320000.000000,86
10322000.000000,24
10324000.000000,-63
10326000.000000,-22
10328000.000000,-2
10330000.000000,-21
10332000.000000,36
10334000.000000,46
10336000.000000,42
10338000.000000,-80
10340000.000000,-59
10342000.000000,40
10344000.000000,167
10346000.000000,47
10348000.000000,-119
10350000.000000,-134
10352000.000000,-27
10354000.000000,133
10356000.000000,89
10358000.000000,26
10360000.000000,-68
10362000.000000,-6
10364000.000000,-4
10366000.000000,-29
10368000.000000,-46
10370000.000000,16
10372000.000000,106
10374000.000000,0
10376000.000000,-98
10378000.000000,-103
10380000.000000,117
10382000.000000,133
10384000.000000,-48
10386000.000000,-193
10388000.000000,-74
10390000.000000,127
10392000.000000,155
10394000.000000,73
10396000.000000,-157
10398000.000000,-147
10400000.000000,7
10402000.000000,175
10404000.000000,30
10406000.000000,-101
10408000.000000,-74
10410000.000000,76
10412000.000000,139
10414000.000000,-19
10416000.000000,-83
10418000.000000,-81
10420000.000000,66
10422000.000000,31
10424000.000000,-18
10426000.000000,-3
10428000.000000,2
10430000.000000,54
10432000.000000,25
10434000.000000,-5
10436000.000000,-129
10438000.000000,-22
10440000.000000,63
10442000.000000,104
10444000.000000,-35
10446000.000000,-104
10448000.000000,-43
10450000.000000,27
10452000.000000,119
10454000.000000,9
10456000.000000,-34
10458000.000000,-127
10460000.000000,-15
10462000.000000,88
10464000.000000,84
10466000.000000,3
10468000.000000,-121
10470000.000000,-35
10472000.000000,-1
10474000.000000,93
10476000.000000,40
10478000.000000,15
10480000.000000,-55
10482000.000000,-68
10484000.000000,-10
10486000.000000,46
10488000.000000,88
10490000.000000,-1
10492000.000000,-26
10494000.000000,-87
10496000.000000,-41
10498000.000000,-22
10500000.000000,100
10502000.000000,115
10504000.000000,-13
10506000.000000,-119
10508000.000000,-96
10510000.000000,56
10512000.000000,54
10514000.000000,49
10516000.000000,-43
10518000.000000,-80
10520000.000000,-89
10522000.000000,74
10524000.000000,161
10526000.000000,28
10528000.000000,-92
10530000.000000,-162
10532000.000000,-6
10534000.000000,32
10536000.000000,93
10538000.000000,55
10540000.000000,-7
10542000.000000,-92
10544000.000000,-78
10546000.000000,59
10548000.000000,58
10550000.000000,-5
10552000.000000,-74
10554000.000000,13
10556000.000000,-4
10558000.000000,13
10560000.000000,28
10562000.000000,-4
10564000.000000,-36
10566000.000000,-60
10568000.000000,29
10570000.000000,-12
10572000.000000,20
10574000.000000,32
10576000.000000,92
10578000.000000,0
10580000.000000,-134
10582000.000000,-113
10584000.000000,30
10586000.000000,171
10588000.000000,38
10590000.000000,-37
10592000.000000,-117
10594000.000000,-24
10596000.000000,84
10598000.000000,128
10600000.000000,3
